stn    time           nto002d0
MER    20121220              0
MER    20121221              0
MER    20121222              0
MER    20121223              0
MER    20121224              0
MER    20121225              0
MER    20121226              0
MER    20121227              0
MER    20121228              0
MER    20121229              0
MER    20121230              0
MER    20121231              1
MER    20130101              0
MER    20130102              0
MER    20130103              0
MER    20130104              0
MER    20130105              0
MER    20130106              0
MER    20130107              0
MER    20130108              0
MER    20130109              0
MER    20130110              0
MER    20130111              0
MER    20130112              0
MER    20130113              0
MER    20130114              0
MER    20130115              0
MER    20130116              0
MER    20130117              0
MER    20130118              0
MER    20130119              0
MER    20130120              0
MER    20130121              0
MER    20130122              0
MER    20130123              1
MER    20130124              0
MER    20130125              0
MER    20130126              0
MER    20130127              0
MER    20130128              0
MER    20130129              0
MER    20130130              0
MER    20130131              0
MER    20130201              0
MER    20130202              0
MER    20130203              0
MER    20130204              0
MER    20130205              0
MER    20130206              0
MER    20130207              0
MER    20130208              0
MER    20130209              0
MER    20130210              0
MER    20130211              0
MER    20130212              0
MER    20130213              0
MER    20130214              0
MER    20130215              0
MER    20130216              0
MER    20130217              0
MER    20130218              1
MER    20130219              0
MER    20130220              0
MER    20130221              0
MER    20130222              0
MER    20130223              0
MER    20130224              0
MER    20130225              0
MER    20130226              0
MER    20130227              0
MER    20130228              0
MER    20130301              1
MER    20130302              0
MER    20130303              1
MER    20130304              1
MER    20130305              0
MER    20130306              0
MER    20130307              0
MER    20130308              0
MER    20130309              0
MER    20130310              0
MER    20130311              0
MER    20130312              0
MER    20130313              0
MER    20130314              0
MER    20130315              0
MER    20130316              0
MER    20130317              0
MER    20130318              0
MER    20130319              0
MER    20130320              0
MER    20130321              0
MER    20130322              0
MER    20130323              0
MER    20130324              0
MER    20130325              0
MER    20130326              0
MER    20130327              0
MER    20130328              0
MER    20130329              0
MER    20130330              0
MER    20130331              0
MER    20130401              0
MER    20130402              0
MER    20130403              0
MER    20130404              0
MER    20130405              0
MER    20130406              0
MER    20130407              0
MER    20130408              0
MER    20130409              0
MER    20130410              0
MER    20130411              0
MER    20130412              0
MER    20130413              0
MER    20130414              1
MER    20130415              0
MER    20130416              0
MER    20130417              0
MER    20130418              0
MER    20130419              0
MER    20130420              0
MER    20130421              0
MER    20130422              0
MER    20130423              0
MER    20130424              1
MER    20130425              1
MER    20130426              0
MER    20130427              0
MER    20130428              0
MER    20130429              0
MER    20130430              0
MER    20130501              0
MER    20130502              0
MER    20130503              0
MER    20130504              0
