 

stn    time           nto002d0  hns000d0
KLO    20160922              0         0
KLO    20160923              0         0
KLO    20160924              0         0
KLO    20160925              0         0
KLO    20160926              0         0
KLO    20160927              0         0
KLO    20160928              0         0
KLO    20160929              1         0
KLO    20160930              1         0
KLO    20161001              0         0
KLO    20161002              0         0
KLO    20161003              0         0
KLO    20161004              0         0
KLO    20161005              0         0
KLO    20161006              0         0
KLO    20161007              0         0
KLO    20161008              0         0
KLO    20161009              0         0
KLO    20161010              0         0
KLO    20161011              0         0
KLO    20161012              0         0
KLO    20161013              0         0
KLO    20161014              0         0
KLO    20161015              0         0
KLO    20161016              0         0
KLO    20161017              0         0
KLO    20161018              0         0
KLO    20161019              0         0
KLO    20161020              0         0
KLO    20161021              0         0
KLO    20161022              0         0
KLO    20161023              0         0
KLO    20161024              0         0
KLO    20161025              0         0
KLO    20161026              0         0
KLO    20161027              1         0
KLO    20161028              0         0
KLO    20161029              0         0
KLO    20161030              0         0
KLO    20161031              0         0
KLO    20161101              0         0
KLO    20161102              0         0
KLO    20161103              0         0
KLO    20161104              0         0
KLO    20161105              0         0
KLO    20161106              0         0
KLO    20161107              0         0
KLO    20161108              0         0
KLO    20161109              0         0
KLO    20161110              0         0
KLO    20161111              0         0
KLO    20161112              0         0
KLO    20161113              0         0
KLO    20161114              0         0
KLO    20161115              0         0
KLO    20161116              0         0
KLO    20161117              0         0
KLO    20161118              0         0
KLO    20161119              0         0
KLO    20161120              0         0
KLO    20161121              0         0
KLO    20161122              0         0
KLO    20161123              0         0
KLO    20161124              0         0
KLO    20161125              0         0
KLO    20161126              0         0
KLO    20161127              0         0
KLO    20161128              1         0
KLO    20161129              1         0
KLO    20161130              1         0
KLO    20161201              0         0
KLO    20161202              1         0
KLO    20161203              0         0
KLO    20161204              0         0
KLO    20161205              0         0
KLO    20161206              0         0
KLO    20161207              0         0
KLO    20161208              0         0
KLO    20161209              0         0
KLO    20161210              1         0
KLO    20161211              0         0
KLO    20161212              0         0
KLO    20161213              0         0
KLO    20161214              0         0
KLO    20161215              0         0
KLO    20161216              0         0
KLO    20161217              0         0
KLO    20161218              0         0
KLO    20161219              0         0
KLO    20161220              0         0
KLO    20161221              0         0
KLO    20161222              0         0
KLO    20161223              0         0
KLO    20161224              0         0
KLO    20161225              0         0
KLO    20161226              0         0
KLO    20161227              0         0
KLO    20161228              1         0
KLO    20161229              0         0
KLO    20161230              0         0
KLO    20161231              0         0

