 

stn    time           nto002d0
CLA    19391115              0
CLA    19391116              0
CLA    19391117              0
CLA    19391118              0
CLA    19391119              0
CLA    19391120              0
CLA    19391121              1
CLA    19391122              0
CLA    19391123              0
CLA    19391124              0
CLA    19391125              0
CLA    19391126              0
CLA    19391127              0
CLA    19391128              0
CLA    19391129              0
CLA    19391130              0
CLA    19391201              1
CLA    19391202              0
CLA    19391203              0
CLA    19391204              0
CLA    19391205              0
CLA    19391206              0
CLA    19391207              0
CLA    19391208              0
CLA    19391209              0
CLA    19391210              0
CLA    19391211              0
CLA    19391212              0
CLA    19391213              0
CLA    19391214              0
CLA    19391215              0
CLA    19391216              0
CLA    19391217              0
CLA    19391218              0
CLA    19391219              0
CLA    19391220              0
CLA    19391221              0
CLA    19391222              0
CLA    19391223              0
CLA    19391224              1
CLA    19391225              1
CLA    19391226              0
CLA    19391227              0
CLA    19391228              0
CLA    19391229              0
CLA    19391230              0
CLA    19391231              1
CLA    19400101              1
CLA    19400102              1
CLA    19400103              0
CLA    19400104              0
CLA    19400105              0
CLA    19400106              0
CLA    19400107              0
CLA    19400108              0
CLA    19400109              0
CLA    19400110              0
CLA    19400111              0
CLA    19400112              0
CLA    19400113              0
CLA    19400114              0
CLA    19400115              0
CLA    19400116              0
CLA    19400117              0
CLA    19400118              0
CLA    19400119              0
CLA    19400120              0
CLA    19400121              0
CLA    19400122              1
CLA    19400123              1
CLA    19400124              0
CLA    19400125              0
CLA    19400126              0
CLA    19400127              0
CLA    19400128              0
CLA    19400129              0
CLA    19400130              0
CLA    19400131              0
CLA    19400201              0
CLA    19400202              0
CLA    19400203              0
CLA    19400204              0
CLA    19400205              0
CLA    19400206              0
CLA    19400207              0
CLA    19400208              0
CLA    19400209              0
CLA    19400210              0
CLA    19400211              0
CLA    19400212              0
CLA    19400213              0
CLA    19400214              0
CLA    19400215              0
CLA    19400216              0
CLA    19400217              0
CLA    19400218              0
CLA    19400219              0
CLA    19400220              0
CLA    19400221              0
CLA    19400222              0
CLA    19400223              0
CLA    19400224              0
CLA    19400225              0
CLA    19400226              0
CLA    19400227              0
CLA    19400228              0
CLA    19400229              0
CLA    19400301              0
CLA    19400302              0
CLA    19400303              0
CLA    19400304              0
CLA    19400305              0
CLA    19400306              0
CLA    19400307              0
CLA    19400308              1
CLA    19400309              1
CLA    19400310              1
CLA    19400311              1
CLA    19400312              0
CLA    19400313              0
CLA    19400314              0
CLA    19400315              1
CLA    19400316              1
CLA    19400317              0
CLA    19400318              0
CLA    19400319              0
CLA    19400320              0
CLA    19400321              1
CLA    19400322              0
CLA    19400323              0
CLA    19400324              1
CLA    19400325              0
CLA    19400326              0
CLA    19400327              0
CLA    19400328              0
CLA    19400329              1
CLA    19400330              0
CLA    19400331              1
CLA    19400401              1
CLA    19400402              0
CLA    19400403              0
CLA    19400404              0
CLA    19400405              0
CLA    19400406              0
CLA    19400407              0
CLA    19400408              0
CLA    19400409              0
CLA    19400410              0
CLA    19400411              0
CLA    19400412              0
CLA    19400413              0
CLA    19400414              0
CLA    19400415              1
CLA    19400416              0
CLA    19400417              0
CLA    19400418              0
CLA    19400419              1
CLA    19400420              1
CLA    19400421              1
CLA    19400422              1
CLA    19400423              0
CLA    19400424              0
CLA    19400425              0
CLA    19400426              0
CLA    19400427              0
CLA    19400428              0
CLA    19400429              1
CLA    19400430              0
CLA    19400501              0
CLA    19400502              0
CLA    19400503              0
CLA    19400504              0
CLA    19400505              0
CLA    19400506              0
CLA    19400507              1
CLA    19400508              1
CLA    19400509              0
CLA    19400510              0
CLA    19400511              1
CLA    19400512              0
CLA    19400513              1
CLA    19400514              1
CLA    19400515              0
CLA    19400516              0
CLA    19400517              0
CLA    19400518              0
CLA    19400519              0
CLA    19400520              0
CLA    19400521              0
CLA    19400522              0
CLA    19400523              0
CLA    19400524              1
CLA    19400525              0
CLA    19400526              0
CLA    19400527              0
CLA    19400528              0
CLA    19400529              0
CLA    19400530              0
CLA    19400531              0
CLA    19400601              0
CLA    19400602              1
CLA    19400603              1
CLA    19400604              1
CLA    19400605              1
CLA    19400606              1
CLA    19400607              1
CLA    19400608              1
CLA    19400609              0
CLA    19400610              0
CLA    19400611              0
CLA    19400612              0
CLA    19400613              0
CLA    19400614              0
CLA    19400615              0
CLA    19400616              0
CLA    19400617              0
CLA    19400618              0
CLA    19400619              0
CLA    19400620              0
CLA    19400621              0
CLA    19400622              0
CLA    19400623              0
CLA    19400624              0
CLA    19400625              0
CLA    19400626              0
CLA    19400627              0
CLA    19400628              1
CLA    19400629              0
CLA    19400630              0
CLA    19400701              0
CLA    19400702              0
CLA    19400703              0
CLA    19400704              0
CLA    19400705              1
CLA    19400706              0
CLA    19400707              0
CLA    19400708              0
CLA    19400709              0
CLA    19400710              1
CLA    19400711              0
CLA    19400712              0
CLA    19400713              0
CLA    19400714              0
CLA    19400715              0
CLA    19400716              0
CLA    19400717              0
CLA    19400718              0
CLA    19400719              0
CLA    19400720              0
CLA    19400721              0
CLA    19400722              0
CLA    19400723              0
CLA    19400724              0
CLA    19400725              0
CLA    19400726              0
CLA    19400727              0
CLA    19400728              0
