 

stn    time           nto002d0  tre200dx  tre200d0  rre150d0  hns000d0
ALT    19390511              0      15.1      11.1       3.6         -
ALT    19390512              0      10.4       8.4       6.0         -
ALT    19390513              0      12.5       9.3       0.3         -
ALT    19390514              0      10.0       8.4      16.7         -
ALT    19390515              0      14.3      10.7       1.3         -
ALT    19390516              0      13.5       9.8       6.7         -
ALT    19390517              0      17.6       9.5       2.7         -
ALT    19390518              0      13.3      10.8      29.5         -
ALT    19390519              0      12.3       9.1       6.4         -
ALT    19390520              0      13.7      10.4      18.5         -
ALT    19390521              0      13.6       8.4      22.3         -
ALT    19390522              0      11.9       9.9       2.4         -
ALT    19390523              0      12.0      10.9       0.2         -
ALT    19390524              0      20.9      13.2       0.4         -
ALT    19390525              0      10.2       8.9       8.2         -
ALT    19390526              0      16.8      11.2       0.0         -
ALT    19390527              0      16.9      12.6       0.0         -
ALT    19390528              0      15.4      10.5      22.3         -
ALT    19390529              0      13.7      10.0       0.7         -
ALT    19390530              0      17.3      12.1       0.0         -
ALT    19390531              0      15.0      12.0       0.9         -
ALT    19390601              0      21.5      13.8       0.0         -
ALT    19390602              0      22.0      15.1       0.0         -
ALT    19390603              0      26.5      17.5       0.0         -
ALT    19390604              1      29.6      18.2       0.0         -
ALT    19390605              1      31.1      18.6       0.0         -
ALT    19390606              1      29.0      20.0       0.0         -
ALT    19390607              0      30.1      19.8       5.1         -
ALT    19390608              0      29.8      20.6       0.0         -
ALT    19390609              0      25.4      18.1       2.7         -
ALT    19390610              0      25.8      17.8       1.5         -
ALT    19390611              0      21.5      16.4      14.5         -
ALT    19390612              0      15.0      11.5      12.7         -
ALT    19390613              0      12.6       9.4       6.4         -
ALT    19390614              0      11.4       9.4       0.0         -
ALT    19390615              0      14.7      12.1       0.0         -
ALT    19390616              0      21.6      14.2       0.2         -
ALT    19390617              0      16.0      13.7      14.0         -
ALT    19390618              0      15.7      13.2       0.2         -
ALT    19390619              0      20.2      14.7       4.5         -
ALT    19390620              0      15.6      13.9       1.2         -
ALT    19390621              0      24.5      16.2       0.0         -
ALT    19390622              0      30.0      18.2       0.4         -
ALT    19390623              0      26.5      18.9       0.7         -
ALT    19390624              0      23.5      16.5      16.6         -
ALT    19390625              0      20.7      16.1       1.7         -
ALT    19390626              0      20.0      15.5       2.1         -
ALT    19390627              0      20.0      14.7       0.0         -
ALT    19390628              1      30.1      16.5       0.0         -
ALT    19390629              0      30.0      19.8       0.2         -
ALT    19390630              0      26.0      18.6      20.1         -
ALT    19390701              0      17.0      15.1       6.6         -
ALT    19390702              0      16.3      14.7       0.4         -
ALT    19390703              0      27.3      14.6       0.0         -
ALT    19390704              1      31.5      16.5       0.0         -
ALT    19390705              0      31.9      22.0       1.4         -
ALT    19390706              0      21.1      17.3       4.5         -
ALT    19390707              0      21.5      18.0       0.0         -
ALT    19390708              1      32.8      19.7       0.0         -
ALT    19390709              0      26.1      19.7      13.4         -
ALT    19390710              0      21.5      17.3       4.4         -
ALT    19390711              0      24.3      17.6       0.0         -
ALT    19390712              0      21.5      17.4       0.0         -
ALT    19390713              0      27.2      18.6       7.9         -
ALT    19390714              0      28.4      19.2       0.0         -
ALT    19390715              0      27.0      20.0       1.4         -
ALT    19390716              0      19.3      14.8      21.5         -
ALT    19390717              0      22.1      17.1       0.5         -
ALT    19390718              0      28.2      18.2       0.0         -
ALT    19390719              0      31.0      21.9       0.0         -
ALT    19390720              0      22.1      17.6       1.5         -
ALT    19390721              0      24.0      18.2       5.7         -
ALT    19390722              0      16.7      14.8      22.3         -
ALT    19390723              0      19.0      14.1       4.0         -
ALT    19390724              0      19.4      13.6       7.8         -
ALT    19390725              0      12.0       9.4      13.5         -
ALT    19390726              0      22.9      14.1       9.7         -
ALT    19390727              0      16.6      12.6       3.8         -
ALT    19390728              0      27.0      14.7       0.0         -
ALT    19390729              1      31.0      18.0       0.0         -
ALT    19390730              1      32.1      22.7       0.0         -
ALT    19390731              0      25.0      19.8      22.6         -
ALT    19390801              0      22.4      18.2       0.0         -
ALT    19390802              0      23.5      18.3       1.3         -
ALT    19390803              0      22.2      17.4       2.1         -
ALT    19390804              0      23.2      16.8       9.5         -
ALT    19390805              0      16.8      14.1      82.3         -
ALT    19390806              0      17.8      14.4       1.1         -
ALT    19390807              0      25.0      15.6       4.7         -
ALT    19390808              0      20.5      15.5      10.9         -
ALT    19390809              0      21.5      15.9       0.9         -
ALT    19390810              0      29.5      17.2       0.0         -
ALT    19390811              1      27.2      19.1       0.0         -
ALT    19390812              0      25.4      19.7       0.0         -
ALT    19390813              0      19.0      17.2       0.3         -
ALT    19390814              0      22.2      18.2       0.0         -
ALT    19390815              0      24.3      16.5       0.0         -
ALT    19390816              1      24.4      15.2       0.0         -
ALT    19390817              0      24.0      16.5       0.0         -
ALT    19390818              0      24.0      16.8       0.0         -
ALT    19390819              0      23.5      17.9       6.0         -
ALT    19390820              0      25.0      17.5       0.0         -
ALT    19390821              0      24.0      18.3       0.0         -
ALT    19390822              0      27.0      18.6       0.0         -
ALT    19390823              0      24.1      18.5       0.0         -
ALT    19390824              0      26.1      18.2       0.0         -
ALT    19390825              0      21.0      17.9      20.9         -
ALT    19390826              0      20.3      17.5       0.0         -
ALT    19390827              1      23.4      17.5       0.0         -
ALT    19390828              0      23.8      17.3       0.0         -
ALT    19390829              0      24.3      17.7       1.5         -
ALT    19390830              0      21.0      17.1       1.5         -
ALT    19390831              0      25.0      18.5       0.0         -
ALT    19390901              0      24.3      18.9       2.5         -
ALT    19390902              0      22.4      18.2       0.0         -
