 

stn    time           hns000d0
LUZ    19391017              0
LUZ    19391018              0
LUZ    19391019              0
LUZ    19391020              0
LUZ    19391021              0
LUZ    19391022              0
LUZ    19391023              0
LUZ    19391024              0
LUZ    19391025              2
LUZ    19391026              0
LUZ    19391027             11
LUZ    19391028              0
LUZ    19391029              0
LUZ    19391030              0
LUZ    19391031              0
LUZ    19391101              0
LUZ    19391102              0
LUZ    19391103              0
LUZ    19391104              0
LUZ    19391105              0
LUZ    19391106              0
LUZ    19391107              0
LUZ    19391108              0
LUZ    19391109              0
LUZ    19391110              0
LUZ    19391111              0
LUZ    19391112              0
LUZ    19391113              0
LUZ    19391114              0
LUZ    19391115              0
LUZ    19391116              0
LUZ    19391117              0
LUZ    19391118              0
LUZ    19391119              0
LUZ    19391120              0
LUZ    19391121              0
LUZ    19391122              0
LUZ    19391123              0
LUZ    19391124              0
LUZ    19391125              0
LUZ    19391126              0
LUZ    19391127              0
LUZ    19391128              0
LUZ    19391129              0
LUZ    19391130              0
LUZ    19391201              0
LUZ    19391202              0
LUZ    19391203              0
LUZ    19391204              0
LUZ    19391205              0
LUZ    19391206              1
LUZ    19391207              0
LUZ    19391208              2
LUZ    19391209              0
LUZ    19391210              0
LUZ    19391211              1
LUZ    19391212              0
LUZ    19391213              1
LUZ    19391214              0
LUZ    19391215              0
LUZ    19391216              0
LUZ    19391217              0
LUZ    19391218              0
LUZ    19391219              0
LUZ    19391220              0
LUZ    19391221              0
LUZ    19391222              0
LUZ    19391223              0
LUZ    19391224              0
LUZ    19391225              0
LUZ    19391226              2
LUZ    19391227              3
LUZ    19391228              0
LUZ    19391229              0
LUZ    19391230              0
LUZ    19391231              0
LUZ    19400101              0
LUZ    19400102              0
LUZ    19400103              0
LUZ    19400104              0
LUZ    19400105              0
LUZ    19400106              0
LUZ    19400107              0
LUZ    19400108              0
LUZ    19400109              0
LUZ    19400110              0
LUZ    19400111              0
LUZ    19400112              0
LUZ    19400113              0
LUZ    19400114              0
LUZ    19400115              0
LUZ    19400116              7
LUZ    19400117             11
LUZ    19400118              0
LUZ    19400119              0
LUZ    19400120              1
LUZ    19400121              0
LUZ    19400122              0
LUZ    19400123              0
LUZ    19400124              0
LUZ    19400125              0
LUZ    19400126              0
LUZ    19400127              5
LUZ    19400128             12
LUZ    19400129              3
LUZ    19400130              0
LUZ    19400131              0
LUZ    19400201              0
LUZ    19400202              0
LUZ    19400203              0
LUZ    19400204              0
LUZ    19400205              0
LUZ    19400206              0
LUZ    19400207              0
LUZ    19400208              0
LUZ    19400209              0
LUZ    19400210              0
LUZ    19400211              4
LUZ    19400212             25
LUZ    19400213              1
LUZ    19400214              0
LUZ    19400215              0
LUZ    19400216              0
LUZ    19400217              7
LUZ    19400218              2
LUZ    19400219              0
LUZ    19400220              0
LUZ    19400221              0
LUZ    19400222              0
LUZ    19400223              0
LUZ    19400224              0
LUZ    19400225              0
LUZ    19400226              0
LUZ    19400227              0
LUZ    19400228              0
LUZ    19400229              0
LUZ    19400301              0
LUZ    19400302              0
LUZ    19400303              0
LUZ    19400304              0
LUZ    19400305              0
LUZ    19400306              9
LUZ    19400307              3
LUZ    19400308              0
LUZ    19400309              0
LUZ    19400310              0
LUZ    19400311              0
LUZ    19400312              0
LUZ    19400313              0
LUZ    19400314              0
LUZ    19400315              0
LUZ    19400316              0
LUZ    19400317              0
LUZ    19400318              0
LUZ    19400319              0
LUZ    19400320              0
LUZ    19400321              0
LUZ    19400322              0
LUZ    19400323              0
LUZ    19400324              0
LUZ    19400325              0
LUZ    19400326              0
LUZ    19400327              0
LUZ    19400328              4
LUZ    19400329              0
LUZ    19400330              0
LUZ    19400331              0
LUZ    19400401              0
LUZ    19400402              0
LUZ    19400403              0
LUZ    19400404              0
LUZ    19400405              1
LUZ    19400406              0
LUZ    19400407              0
LUZ    19400408              0
LUZ    19400409              0
LUZ    19400410              0
LUZ    19400411              0
LUZ    19400412              0
LUZ    19400413              0
LUZ    19400414              0
LUZ    19400415              0
LUZ    19400416              0
LUZ    19400417              0
LUZ    19400418              0
LUZ    19400419              0
LUZ    19400420              0
LUZ    19400421              0
LUZ    19400422              0
LUZ    19400423              0
LUZ    19400424              0
LUZ    19400425              0
LUZ    19400426              0
LUZ    19400427              0
LUZ    19400428              0
LUZ    19400429              0
LUZ    19400430              0
LUZ    19400501              0
LUZ    19400502              0
LUZ    19400503              0
LUZ    19400504              0
LUZ    19400505              0
LUZ    19400506              0
LUZ    19400507              0
LUZ    19400508              0
LUZ    19400509              0
LUZ    19400510              0
LUZ    19400511              0
LUZ    19400512              0
LUZ    19400513              0
LUZ    19400514              0
LUZ    19400515              0
LUZ    19400516              0
LUZ    19400517              0
LUZ    19400518              0
LUZ    19400519              0
LUZ    19400520              0
LUZ    19400521              0
LUZ    19400522              0
LUZ    19400523              0
LUZ    19400524              0
LUZ    19400525              0
LUZ    19400526              0
LUZ    19400527              0
LUZ    19400528              0
LUZ    19400529              0
LUZ    19400530              0
LUZ    19400531              0
LUZ    19400601              0
LUZ    19400602              0
LUZ    19400603              0
LUZ    19400604              0
LUZ    19400605              0
LUZ    19400606              0
LUZ    19400607              0
LUZ    19400608              0
LUZ    19400609              0
LUZ    19400610              0
LUZ    19400611              0
LUZ    19400612              0
LUZ    19400613              0
LUZ    19400614              0
LUZ    19400615              0
LUZ    19400616              0
LUZ    19400617              0
LUZ    19400618              0
LUZ    19400619              0
LUZ    19400620              0
LUZ    19400621              0
LUZ    19400622              0
LUZ    19400623              0
LUZ    19400624              0
LUZ    19400625              0
LUZ    19400626              0
LUZ    19400627              0
LUZ    19400628              0
LUZ    19400629              0
LUZ    19400630              0
LUZ    19400701              0
LUZ    19400702              0
LUZ    19400703              0
LUZ    19400704              0
LUZ    19400705              0
LUZ    19400706              0
LUZ    19400707              0
LUZ    19400708              0
LUZ    19400709              0
LUZ    19400710              0
LUZ    19400711              0
LUZ    19400712              0
LUZ    19400713              0
LUZ    19400714              0
LUZ    19400715              0
LUZ    19400716              0
LUZ    19400717              0
LUZ    19400718              0
LUZ    19400719              0
LUZ    19400720              0
LUZ    19400721              0
LUZ    19400722              0
LUZ    19400723              0
LUZ    19400724              0
LUZ    19400725              0
LUZ    19400726              0
LUZ    19400727              0
LUZ    19400728              0
LUZ    19400729              0
LUZ    19400730              0
LUZ    19400731              0
LUZ    19400801              0
LUZ    19400802              0
LUZ    19400803              0
LUZ    19400804              0
LUZ    19400805              0
LUZ    19400806              0
LUZ    19400807              0
LUZ    19400808              0
LUZ    19400809              0
LUZ    19400810              0
LUZ    19400811              0
LUZ    19400812              0
LUZ    19400813              0
LUZ    19400814              0
LUZ    19400815              0
LUZ    19400816              0
LUZ    19400817              0
LUZ    19400818              0
LUZ    19400819              0
LUZ    19400820              0
LUZ    19400821              0
LUZ    19400822              0
LUZ    19400823              0
LUZ    19400824              0
LUZ    19400825              0
LUZ    19400826              0
LUZ    19400827              0
LUZ    19400828              0
LUZ    19400829              0
LUZ    19400830              0
LUZ    19400831              0
LUZ    19400901              0
LUZ    19400902              0
LUZ    19400903              0
LUZ    19400904              0
LUZ    19400905              0
LUZ    19400906              0
LUZ    19400907              0
LUZ    19400908              0
LUZ    19400909              0
LUZ    19400910              0
LUZ    19400911              0
LUZ    19400912              0
LUZ    19400913              0
LUZ    19400914              0
LUZ    19400915              0
LUZ    19400916              0
LUZ    19400917              0
LUZ    19400918              0
LUZ    19400919              0
LUZ    19400920              0
LUZ    19400921              0
LUZ    19400922              0
LUZ    19400923              0
LUZ    19400924              0
LUZ    19400925              0
LUZ    19400926              0
LUZ    19400927              0
LUZ    19400928              0
LUZ    19400929              0
LUZ    19400930              0
LUZ    19401001              0
LUZ    19401002              0
LUZ    19401003              0
LUZ    19401004              0
LUZ    19401005              0
LUZ    19401006              0
LUZ    19401007              0
LUZ    19401008              0
LUZ    19401009              0
LUZ    19401010              0
LUZ    19401011              0
LUZ    19401012              0
LUZ    19401013              0
LUZ    19401014              0
LUZ    19401015              0
LUZ    19401016              0
LUZ    19401017              0
LUZ    19401018              0
LUZ    19401019              0
LUZ    19401020              0
LUZ    19401021              0
LUZ    19401022              0
LUZ    19401023              0
LUZ    19401024              0
LUZ    19401025              0
LUZ    19401026              0
LUZ    19401027              0
LUZ    19401028              0
LUZ    19401029              0
LUZ    19401030              0
LUZ    19401031              0
LUZ    19401101              0
LUZ    19401102              0
LUZ    19401103              0
LUZ    19401104              0
LUZ    19401105              0
LUZ    19401106              0
LUZ    19401107              0
LUZ    19401108              0
LUZ    19401109              0
LUZ    19401110              0
LUZ    19401111              0
LUZ    19401112              0
LUZ    19401113              0
LUZ    19401114              0
LUZ    19401115              0
LUZ    19401116              0
LUZ    19401117              0
LUZ    19401118              0
LUZ    19401119              0
LUZ    19401120              0
LUZ    19401121              0
LUZ    19401122              0
LUZ    19401123              0
LUZ    19401124              0
LUZ    19401125              0
LUZ    19401126              0
LUZ    19401127              0
LUZ    19401128              5
LUZ    19401129              6
LUZ    19401130              1
LUZ    19401201              0
LUZ    19401202              0
LUZ    19401203              0
LUZ    19401204              0
LUZ    19401205              0
LUZ    19401206              0
LUZ    19401207              0
LUZ    19401208              0
LUZ    19401209              0
LUZ    19401210              0
LUZ    19401211              5
LUZ    19401212             10
LUZ    19401213              2
LUZ    19401214              0
LUZ    19401215              0
LUZ    19401216              0
LUZ    19401217              0
LUZ    19401218              0
LUZ    19401219              4
LUZ    19401220              0
LUZ    19401221              0
LUZ    19401222              1
LUZ    19401223              1
LUZ    19401224              0
LUZ    19401225              0
LUZ    19401226              0
LUZ    19401227              2
LUZ    19401228              0
LUZ    19401229              0
LUZ    19401230              0
LUZ    19401231              0
LUZ    19410101              0
LUZ    19410102              2
LUZ    19410103              3
LUZ    19410104              0
LUZ    19410105              6
LUZ    19410106              0
LUZ    19410107              0
LUZ    19410108              0
LUZ    19410109              1
LUZ    19410110              0
LUZ    19410111              0
LUZ    19410112              0
LUZ    19410113              0
LUZ    19410114              0
LUZ    19410115              0
LUZ    19410116              5
LUZ    19410117              0
LUZ    19410118              4
LUZ    19410119              0
LUZ    19410120              0
LUZ    19410121              0
LUZ    19410122              0
LUZ    19410123              0
LUZ    19410124              0
LUZ    19410125              0
LUZ    19410126              0
LUZ    19410127              0
LUZ    19410128              0
LUZ    19410129              0
LUZ    19410130              0
LUZ    19410131              0
LUZ    19410201              0
LUZ    19410202              0
LUZ    19410203              0
LUZ    19410204             13
LUZ    19410205              0
LUZ    19410206             18
LUZ    19410207              0
LUZ    19410208              0
LUZ    19410209              0
LUZ    19410210              0
LUZ    19410211              0
LUZ    19410212              0
LUZ    19410213              0
LUZ    19410214              0
LUZ    19410215              0
LUZ    19410216              0
LUZ    19410217              0
LUZ    19410218              0
LUZ    19410219              0
LUZ    19410220              4
LUZ    19410221              0
LUZ    19410222              0
LUZ    19410223              0
LUZ    19410224              0
LUZ    19410225              0
LUZ    19410226              0
LUZ    19410227              0
LUZ    19410228              0
LUZ    19410301              0
LUZ    19410302              0
LUZ    19410303              0
LUZ    19410304              0
LUZ    19410305              0
LUZ    19410306              0
LUZ    19410307              0
LUZ    19410308              0
LUZ    19410309              0
LUZ    19410310              0
LUZ    19410311              0
LUZ    19410312              0
LUZ    19410313              0
LUZ    19410314              0
LUZ    19410315              0
LUZ    19410316              0
LUZ    19410317              0
LUZ    19410318              0
LUZ    19410319              0
LUZ    19410320              0
LUZ    19410321              0
LUZ    19410322              0
LUZ    19410323              0
LUZ    19410324              0
LUZ    19410325              0
LUZ    19410326              0
LUZ    19410327              0
LUZ    19410328              0
LUZ    19410329              0
LUZ    19410330              0
LUZ    19410331              0
LUZ    19410401              0
LUZ    19410402              0
LUZ    19410403              0
LUZ    19410404              0
LUZ    19410405              0
LUZ    19410406              0
LUZ    19410407              0
LUZ    19410408              0
LUZ    19410409              0
LUZ    19410410              0
LUZ    19410411              0
LUZ    19410412              0
LUZ    19410413              0
LUZ    19410414              0
LUZ    19410415              0
LUZ    19410416              0
LUZ    19410417              0
LUZ    19410418              0
LUZ    19410419              0
LUZ    19410420              0
LUZ    19410421              0
LUZ    19410422              0
LUZ    19410423              0
LUZ    19410424              0
LUZ    19410425              0
LUZ    19410426              0
LUZ    19410427              0
LUZ    19410428              0
LUZ    19410429              0
LUZ    19410430              0
LUZ    19410501              0
LUZ    19410502              0
LUZ    19410503              0
LUZ    19410504              0
LUZ    19410505              0
LUZ    19410506              0
LUZ    19410507              0
LUZ    19410508              0
LUZ    19410509              0
LUZ    19410510              0
